θ,SC,BCC,FCC
5.045045045045045,2.3584848229827666,2.356746697081422,2.3564156518116643
5.225225225225225,2.089623945543578,2.0880714668639997,2.087776173033928
5.405405405405405,2.3844450000697437,2.382658941663879,2.382319684207428
5.585585585585586,2.10670735084521,2.1051162207832452,2.104814415848832
5.7657657657657655,1.9762283006546362,1.9747231678336736,1.9744380898275982
5.945945945945946,2.4033131355428896,2.4014671500188647,2.4011180369248097
6.126126126126127,2.1181827552283083,2.116541763306243,2.11623189770647
6.306306306306307,2.0169846395578315,2.0154084208733414,2.0151112597822882
6.486486486486487,2.1271844520319947,2.125507438287413,2.125191792890582
6.666666666666666,2.4073778713116494,2.405462993662042,2.4051031868673065
6.846846846846847,2.4619004343797184,2.4599244602457992,2.4595538200718696
7.027027027027027,1.7394703488620489,1.7380614119193707,1.7377976073159773
7.207207207207207,2.293178007326864,2.2913033284820328,2.290952969568366
7.387387387387387,2.0098982147735116,2.008239660456585,2.007930284490107
7.567567567567568,2.1120677171954583,2.1103082422500083,2.10998068681282
7.747747747747748,2.170175654276421,2.1683503131946225,2.16801118491077
7.927927927927928,1.8474673089117506,1.8458981919945596,1.8456072770352978
8.108108108108107,2.2119763974064686,2.2100790571852946,2.2097280481463883
8.288288288288289,1.9953268880074697,1.9935981743632398,1.993279072687861
8.468468468468469,2.5089742373591415,2.506778355615927,2.5063739497018536
8.64864864864865,2.4342933469358394,2.432140811686511,2.431745326808444
8.82882882882883,2.7046693098475703,2.7022526335546315,2.7018097020316403
9.00900900900901,2.515974344296938,2.5137023809771466,2.5132870214115175
9.18918918918919,2.0172362907636163,2.015395060525789,2.015059322217096
9.36936936936937,2.0193113291697773,2.0174480502348713,2.0171092026159436
9.54954954954955,2.7290259163457447,2.726479823394101,2.7260180837580736
9.72972972972973,2.454033022066016,2.4517177102578525,2.4512990227998186
9.90990990990991,2.3569636627331976,2.3547145213026637,2.3543089991214416
10.09009009009009,2.108877710991849,2.106841961848818,2.1064760319907516
10.27027027027027,2.1504816959043453,2.148381335851423,2.148004978937597
10.45045045045045,2.187284529546357,2.1851226743490333,2.1847365559120924
10.63063063063063,2.1294589923854543,2.1273287244950105,2.1269495234650786
10.81081081081081,2.8387420666458487,2.8358672047180873,2.8353572337601767
10.99099099099099,2.1639539397790832,2.1617349772340213,2.1613427645925776
11.171171171171173,2.2231338801538305,2.2208251900641156,2.220418626447192
11.35135135135135,1.9476525301613767,1.945603731892702,1.9452443142159412
11.531531531531531,2.1724337242939895,2.1701183875495755,2.1697138155860345
11.711711711711713,2.2880500548880804,2.2855788545648945,2.28514881065443
11.891891891891891,2.1138866460922383,2.1115724688520516,2.111171450483369
12.072072072072073,2.293650391645651,2.2911046446601273,2.2906654238952964
12.252252252252253,2.2398346964833777,2.2373136507853206,2.236880655665815
12.432432432432432,2.1944676976776742,2.191962295304352,2.19153399687181
12.612612612612613,2.2251877039480514,2.222610145034108,2.2221716409612955
